command,x,y,heading,speed
NONE,16.98,19.19,13.6,0
MOVE_WITH_HEADING,17.96,19.43,13.6,50
MOVE_WITH_HEADING,18.95,19.67,13.6,50
MOVE_WITH_HEADING,19.93,19.91,13.6,50
MOVE_WITH_HEADING,20.92,20.15,13.6,50
MOVE_WITH_HEADING,21.9,20.38,13.6,50
MOVE_WITH_HEADING,22.88,20.62,13.6,50
MOVE_WITH_HEADING,23.87,20.86,13.6,50
MOVE_WITH_HEADING,24.85,21.1,13.6,50
MOVE_WITH_HEADING,25.84,21.34,13.6,50
MOVE_WITH_HEADING,26.82,21.57,13.6,50
MOVE_WITH_HEADING,27.81,21.81,13.6,50
MOVE_WITH_HEADING,28.79,22.05,13.6,50
MOVE_WITH_HEADING,29.77,22.29,13.6,50
MOVE_WITH_HEADING,30.76,22.53,13.6,50
MOVE_WITH_HEADING,31.74,22.76,13.6,50
MOVE_WITH_HEADING,32.73,23.0,13.6,50
MOVE_WITH_HEADING,33.71,23.24,13.6,50
MOVE_WITH_HEADING,34.69,23.48,13.6,50
MOVE_WITH_HEADING,35.68,23.72,13.6,50
MOVE_WITH_HEADING,36.66,23.96,13.6,50
MOVE_WITH_HEADING,37.65,24.19,13.6,50
MOVE_WITH_HEADING,38.63,24.43,13.6,50
MOVE_WITH_HEADING,39.62,24.67,13.6,50
MOVE_WITH_HEADING,40.6,24.91,13.6,50
MOVE_WITH_HEADING,41.58,25.15,13.6,50
MOVE_WITH_HEADING,42.57,25.38,13.6,50
MOVE_WITH_HEADING,43.55,25.62,13.6,50
MOVE_WITH_HEADING,44.54,25.86,13.6,50
MOVE_WITH_HEADING,45.52,26.1,13.6,50
MOVE_WITH_HEADING,46.51,26.34,13.6,50
MOVE_WITH_HEADING,47.49,26.57,13.6,50
MOVE_WITH_HEADING,48.47,26.81,13.6,50
MOVE_WITH_HEADING,49.46,27.05,13.6,50
MOVE_WITH_HEADING,50.44,27.29,13.6,50
MOVE_WITH_HEADING,51.43,27.53,13.6,50
MOVE_WITH_HEADING,52.41,27.77,13.6,50
MOVE_WITH_HEADING,53.4,28.0,13.6,50
MOVE_WITH_HEADING,54.38,28.24,13.6,50
MOVE_WITH_HEADING,55.36,28.48,13.6,50
MOVE_WITH_HEADING,56.35,28.72,13.6,50
MOVE_WITH_HEADING,57.33,28.96,13.6,50
MOVE_WITH_HEADING,58.32,29.19,13.6,50
MOVE_WITH_HEADING,59.3,29.43,13.6,50
MOVE_WITH_HEADING,60.29,29.67,13.6,50
MOVE_WITH_HEADING,61.27,29.91,13.6,50
MOVE_WITH_HEADING,62.25,30.15,13.6,50
MOVE_WITH_HEADING,63.24,30.38,13.6,50
MOVE_WITH_HEADING,64.22,30.62,13.6,50
MOVE_WITH_HEADING,65.21,30.86,13.6,50
MOVE_WITH_HEADING,66.19,31.1,13.6,50
MOVE_WITH_HEADING,67.18,31.34,13.6,50
MOVE_WITH_HEADING,68.16,31.58,13.6,50
MOVE_WITH_HEADING,69.14,31.81,13.6,50
MOVE_WITH_HEADING,70.13,32.05,13.6,50
MOVE_WITH_HEADING,71.11,32.29,13.6,50
MOVE_WITH_HEADING,72.1,32.53,13.6,50
MOVE_WITH_HEADING,73.08,32.77,13.6,50
MOVE_WITH_HEADING,74.06,33.0,13.6,50
MOVE_WITH_HEADING,75.05,33.24,13.6,50
MOVE_WITH_HEADING,76.03,33.48,13.6,50
MOVE_WITH_HEADING,77.02,33.72,13.6,50
MOVE_WITH_HEADING,78.0,33.96,13.6,50
NONE,78.0,33.96,47.68,0
MOVE_WITH_HEADING,78.68,34.71,47.68,50
MOVE_WITH_HEADING,79.37,35.46,47.68,50
MOVE_WITH_HEADING,80.05,36.2,47.68,50
MOVE_WITH_HEADING,80.73,36.95,47.68,50
MOVE_WITH_HEADING,81.41,37.7,47.68,50
MOVE_WITH_HEADING,82.1,38.45,47.68,50
MOVE_WITH_HEADING,82.78,39.2,47.68,50
MOVE_WITH_HEADING,83.46,39.95,47.68,50
MOVE_WITH_HEADING,84.14,40.7,47.68,50
MOVE_WITH_HEADING,84.82,41.45,47.68,50
MOVE_WITH_HEADING,85.51,42.2,47.68,50
MOVE_WITH_HEADING,86.19,42.95,47.68,50
MOVE_WITH_HEADING,86.87,43.7,47.68,50
MOVE_WITH_HEADING,87.55,44.45,47.68,50
MOVE_WITH_HEADING,88.24,45.2,47.68,50
MOVE_WITH_HEADING,88.92,45.95,47.68,50
MOVE_WITH_HEADING,89.6,46.7,47.68,50
MOVE_WITH_HEADING,90.28,47.45,47.68,50
MOVE_WITH_HEADING,90.96,48.19,47.68,50
MOVE_WITH_HEADING,91.65,48.94,47.68,50
MOVE_WITH_HEADING,92.33,49.69,47.68,50
MOVE_WITH_HEADING,93.01,50.44,47.68,50
MOVE_WITH_HEADING,93.69,51.19,47.68,50
MOVE_WITH_HEADING,94.38,51.94,47.68,50
MOVE_WITH_HEADING,95.06,52.69,47.68,50
